doy.dayfract;datetime [UTC];SZA;Lat;Lon;temp1 [C];temp2 [C];temp3 [C];temp4 [C];h1 [%];h2 [%];Voltage;Pan;Tilt;cyclenr;Incoming at 750nm [W m-2nm-1sr-1];Reflected 750 [W m-2nm-1sr-1];Reflected 760 [W m-2nm-1sr-1];Reflected 687 [W m-2nm-1sr-1];Reflectance 750 [-];Reflectance 760 [-];E_stability [%];sat value L;sat value E;sat value E2;Dynamic range E [%];Dynamic range L [%];DC_fluo;DCL_fluo;SIF_A_ifld [mW m-2nm-1sr-1];SIF_B_ifld [mW m-2nm-1sr-1];SIF_A_sfm [mW m-2nm-1sr-1];SIF_B_sfm [mW m-2nm-1sr-1];A_sfm_conv;B_sfm_conv;check;cyclenr;Incoming at 750nm Full [W m-2nm-1sr-1];Reflected 750nm full [W m-2nm-1sr-1];PAR inc [W m-2];PAR ref [W m-2];APAR [umol m-2 s-1];E_stability full [%];sat value L full;sat value E full;sat value E2 full;Dynamic range E full [%];Dynamic range L full [%];DC;DCL;SSHIFT [nm];gps_CPU;wr_CPU;veg_CPU;NDVI;PRI;MTCI;SR;EVI;REP;TCARI;REDCl;MCRI;L800
164.36930555555554;2025-06-13 07:51:48;46.18833885600013;42.85865;11.05513;27.87;20.07;36.5;26.6;37.4;49.9;11.93;0;0;1;0.3240797720205228;0.1045313513215516;0.0636739891385381;0.0249472942444399;0.3297880648387202;0.3405438706427682;0.0623877812766201;0;0;0;80.109;80.2905;2191.2626953125;2267.40234375;0.9843212675417778;1.1848122282848816;1.0958952206126278;1.046696766568384;True;True;0;1;0.3120698251607285;0.1023411050806891;354.27967608684287;28.986079302234728;659.7132930454891;0.1677912724792702;0;0;0;78.70555555555555;76.60740740740741;1931.0;1913.6666666666667;-0.3934333010290061;112666;121552;119741;0.6028387826211337;-0.058405381069196;0.5853164703328152;0.9735790918963036;0.463610337010501;647.4264895396236;0.1107324991571559;0.4048448436727168;-1.9303832944022836;0.0979219225839598
164.37185185185186;2025-06-13 07:55:28;45.524983983621546;42.85812;11.05426;28.5;20.07;39.5;26.2;31.9;56.0;11.91;0;0;2;0.3220060254704489;0.1161999104573752;0.073054125632504;0.0105479063243809;0.3778719272475178;0.3955857785366573;0.0768913223590884;0;0;0;80.167;90.9585;2194.0205078125;2269.9345703125;1.5140784992685248;1.0425521940751554;1.4017092293818632;0.9524941292894904;True;True;0;2;0.3158097731029272;0.1117227099039499;368.5050419355625;14.095338488239609;1389.5408285024096;0.5185866447617169;0;0;0;74.89444444444445;76.00185185185185;1861.0;1880.6666666666667;-0.3934333010290061;332442;339907;338061;0.8345789662648164;-0.0377000946938748;2.0249127884227747;0.9983630630735574;0.64345842404193;662.1895051541009;0.07619128526571;1.0940762570466736;-2.497993362719213;0.110153150202607
164.3723611111111;2025-06-13 07:56:12;45.39234584178732;42.85814;11.05428;28.62;20.07;39.9;26.6;30.9;56.2;11.18;0;0;3;0.3225623919141638;0.1162283825759113;0.0730743344455125;0.0105976586000214;0.3772581202213899;0.394503430969934;0.0654452139979857;0;0;0;80.25999999999999;79.49300000000001;2192.4482421875;2192.6181640625;1.563828984255732;0.8514250677956446;1.3957755174073685;0.913597674598014;True;True;0;3;0.3144426117299909;0.1106765871251439;369.0003243874743;14.193153515389278;1383.3772829916468;0.3230721130442626;0;0;0;74.8111111111111;76.19074074074074;1888.6666666666667;1907.6666666666667;-0.3934333010290061;376431;383931;382082;0.8323368680213555;-0.0322802247837393;1.9989965699612615;0.9922432827294366;0.6359291293249563;662.3341870723613;0.0757946697138443;1.07765466958881;-2.484858490715294;0.1087524525768834
164.37287037037038;2025-06-13 07:56:56;45.259761824996914;42.85816;11.0543;28.69;20.07;40.2;26.6;30.6;55.4;11.17;0;0;4;0.3255961730409552;0.1094202889373351;0.0682567887225061;0.0157889744381055;0.3501922848178545;0.3653938757577059;0.0341699926847882;0;0;0;80.215;73.8325;2186.19921875;2186.466796875;1.400234890719724;1.0988357458914395;1.4847155816104325;1.0264799551596064;True;True;0;4;0.3161095774617964;0.1074584528552399;370.7563673884806;15.87724905417162;1255.5514876442087;0.4741036462317222;0;0;0;74.97777777777777;76.6537037037037;1869.3333333333333;1898.3333333333333;-0.3934333010290061;420674;428181;426328;0.7940770321454615;-0.0456926422390138;1.6546913996229933;0.9967372571538968;0.5931492117461864;660.4704716524112;0.0722854548456046;0.999968787845245;-2.4391507686732323;0.1050861650303936
164.37327546296297;2025-06-13 07:57:31;45.15435840745536;42.85815;11.05428;28.69;20.07;40.6;26.2;30.2;52.9;11.16;0;0;5;0.3267019411202706;0.107713630993199;0.0672391995831186;0.0143848098381619;0.3431421683100703;0.3577229186637002;0.0091312809932685;0;0;0;80.086;72.441;2184.63671875;2185.7373046875;1.413053511346399;1.019352375447499;1.470145342921474;1.021965427667933;True;True;0;5;0.3161866796447261;0.107114052660379;371.3996606872545;15.958829331272636;1251.422420391315;14.473634258447207;0;0;0;74.93148148148148;76.8111111111111;1853.6666666666667;1865.3333333333333;-0.3934333010290061;455675;466892;465038;0.7921996371231251;-0.048306641323312;1.6706300169391042;0.9941445595086512;0.587706906969289;661.0489776732227;0.07192619387463;0.9820432504335505;-2.420462970520268;0.1044533866820597
164.37375;2025-06-13 07:58:12;45.03093788006165;42.85811;11.05424;28.69;20.07;41.1;26.0;29.6;54.3;11.83;0;0;6;0.3272249064688287;0.1078276821584753;0.0673317056890152;0.0143434541742233;0.3429481994454791;0.3574772252683816;0.0044141940388768;0;0;0;80.7295;72.9105;2187.9267578125;2188.0927734375;1.4888982675185285;0.9195389570293914;1.482547247235133;1.0345125722960218;True;True;0;6;0.317413406761397;0.1075372037758837;372.3104243324344;15.99414904104482;1250.523911950739;0.3408080712854007;0;0;0;75.58518518518518;76.65185185185184;1853.3333333333333;1868.0;-0.3934333010290061;496061;503574;501720;0.7909780009443816;-0.0437477752390235;1.656613467285894;0.9912566988408276;0.5842313648443583;661.211180186987;0.0723245905515638;0.9956770364476268;-2.438626821469583;0.1046365234266424
164.37416666666667;2025-06-13 07:58:48;44.92258246865861;42.85811;11.05425;28.81;20.07;41.5;26.4;28.9;57.9;11.12;0;0;7;0.3278932109246611;0.1081251771533991;0.0675810421901916;0.0143873593826497;0.3432600480554169;0.3584300817928691;0.0221379773857055;0;0;0;80.2095;72.577;2184.3642578125;2184.533203125;1.3787278935900829;0.9903861845418144;1.4722709902253517;1.048527322584506;True;True;0;7;0.3196295373682794;0.1077255632709748;372.8222011750621;16.01211917782693;1254.5046231589995;0.2215239491109145;0;0;0;75.72222222222223;77.23518518518519;1850.6666666666667;1866.3333333333333;-0.3934333010290061;532402;539916;538061;0.7916670905281241;-0.04337775368342;1.6587177115686895;0.9917585990024994;0.5861837080047332;660.6983770868846;0.072983748344887;1.0056908595895058;-2.4514965992833764;0.1047468516109526
164.37458333333333;2025-06-13 07:59:24;44.81427290306246;42.85811;11.05425;28.87;20.07;41.7;26.6;28.7;56.9;11.12;0;0;8;0.3290065518121598;0.1084729243207254;0.0677810016184191;0.0144212286504817;0.3435128289941916;0.3584003175022004;0.0370243519874043;0;0;0;80.093;72.5405;2182.1923828125;2182.51171875;1.5330289296167152;1.0593848551143448;1.4851284483569156;1.012037099732902;True;True;0;8;0.3199853984792642;0.1077666193132865;373.7983294354912;16.05523807322852;1263.1640311871884;0.0619362535743964;0;0;0;75.52037037037037;76.77777777777777;1820.3333333333333;1852.0;-0.3934333010290061;568391;575905;574051;0.793309100239182;-0.0466093735439523;1.6622133928526968;0.99385803415968;0.5885689612864211;660.7635005423656;0.0737600908851044;0.9979112131103364;-2.4398220734632425;0.1053211677124152
164.37501157407408;2025-06-13 08:00:01;44.70299560871411;42.85811;11.05425;28.87;20.07;42.0;26.4;28.6;55.6;11.13;0;0;9;0.3293492809162717;0.1085242816363137;0.0676879507135871;0.014452463940936;0.3431760123148438;0.358534410230872;0.0571902661715527;0;0;0;80.083;72.49449999999999;2181.0615234375;2180.8544921875;1.3956680670380457;0.8731405624271429;1.4323717304239978;0.8567127579317361;True;True;0;9;0.320687725457893;0.1077802931016652;374.2294746842541;16.10529703804461;1260.6373982450912;0.49104807060187;0;0;0;75.56481481481482;76.82037037037037;1860.0;1857.6666666666667;-0.3934333010290061;605574;613086;611233;0.792128722887537;-0.0464535952424825;1.6577164132338869;0.9973239846798406;0.5881550123528031;660.9985178894455;0.0727364237875341;0.9941390084526024;-2.434785273236816;0.1054570008101895
164.37543981481485;2025-06-13 08:00:38;44.59176035615618;42.85811;11.05425;28.87;20.07;42.3;26.1;28.3;52.8;11.76;0;0;10;0.3303291489761253;0.1086627849162151;0.0677522532157211;0.0144912870646417;0.3423939582358285;0.3574256378127209;0.002004634773469;0;0;0;80.16799999999999;72.24549999999999;2179.90234375;2180.4404296875;1.4090487251997632;1.0343559897085444;1.4433828696597637;0.9314030620565178;True;True;0;10;0.3202681519325679;0.1079477471515497;375.290192659544;16.13431002795654;1266.256650457161;0.5622845639148835;0;0;0;75.82407407407408;76.87037037037037;1839.6666666666667;1851.6666666666667;-0.3934333010290061;642283;649796;647942;0.7927331019885647;-0.0491594059133671;1.6431734061619836;0.9965184399689389;0.5890007046790079;660.6724315647217;0.0730543158677504;1.0025113383863649;-2.447699712206291;0.1057061590457403
