WL,PC1,PC2,PC3,PC4,sum,,,,,,,,,
,,,,,,,,,21.30924406,,,,,17456
712,0.0833698,-0.0483087,0.086669854,-0.123649941,2.152392772,,,,,,,,,
713,0.086089032,-0.042358141,0.091818338,-0.125649197,2.135459345,,,,,,,,,
714,0.088766893,-0.037312855,0.092934533,-0.128073869,2.118413855,,,,,,,,,
715,0.091802722,-0.032503283,0.093220259,-0.130568519,2.109881387,,,,,,,,,
716,0.095177122,-0.026768473,0.096303961,-0.131688461,2.108231594,,,,,,,,,
717,0.098487927,-0.020866369,0.09884514,-0.131875712,2.105292538,,,,,,,,,
718,0.101445857,-0.015851552,0.09696834,-0.132132141,2.095813536,,,,,,,,,
719,0.104311176,-0.010692277,0.094618531,-0.131422725,2.085027172,,,,,,,,,
720,0.107172161,-0.004526644,0.095323534,-0.128564214,2.076341794,,,,,,,,,
721,0.110214284,0.002572425,0.098548942,-0.123938369,2.071925413,,,,,,,,,
722,0.113151806,0.00833118,0.096606626,-0.120191825,2.06738218,,,,,,,,,
723,0.116171623,0.012929956,0.090328529,-0.117384728,2.066050426,,,,,,,,,
724,0.119364462,0.017634688,0.084019687,-0.113849261,2.069730637,,,,,,,,,
725,0.122319441,0.022521019,0.078026354,-0.109025293,2.071652552,,,,,,,,,
726,0.125090392,0.027940318,0.073743771,-0.102479972,2.073291375,,,,,,,,,
727,0.12774722,0.033351026,0.069328343,-0.095061679,2.07566762,,,,,,,,,
728,0.130170994,0.038107031,0.062902867,-0.087650037,2.076973523,,,,,,,,,
729,0.132401105,0.041963909,0.053560598,-0.080703468,2.077365544,,,,,,,,,
730,0.134491632,0.045014074,0.041837524,-0.074254042,2.077924485,,,,,,,,,
731,0.136438791,0.04718115,0.027645275,-0.068524835,2.078515971,,,,,,,,,
732,0.138494709,0.048515913,0.010663171,-0.06368996,2.082391162,,,,,,,,,
733,0.140538136,0.049077151,-0.008475641,-0.059666814,2.088020524,,,,,,,,,
734,0.142501223,0.049530877,-0.027486169,-0.055453315,2.094418208,,,,,,,,,
735,0.144422615,0.050681905,-0.04353353,-0.049851555,2.103090329,,,,,,,,,
736,0.146147242,0.052134921,-0.057530335,-0.04342743,2.111636499,,,,,,,,,
737,0.147623435,0.053880256,-0.06980153,-0.036140191,2.118461998,,,,,,,,,
738,0.148574339,0.055878231,-0.07947073,-0.027946486,2.120469628,,,,,,,,,
739,0.149068343,0.05790895,-0.087522857,-0.019264629,2.118073362,,,,,,,,,
740,0.149132715,0.059579969,-0.095153514,-0.010910496,2.111074245,,,,,,,,,
741,0.149177475,0.059953666,-0.106223945,-0.00483374,2.10393181,,,,,,,,,
742,0.14829549,0.060429646,-0.114254328,0.001945447,2.085689485,,,,,,,,,
743,0.145925761,0.061822626,-0.114544437,0.010722252,2.049798636,,,,,,,,,
744,0.143145119,0.063243903,-0.112704803,0.019476729,2.009801698,,,,,,,,,
745,0.141386333,0.063528223,-0.116349961,0.02548787,1.982999628,,,,,,,,,
746,0.139828038,0.062918896,-0.122568328,0.029541969,1.958669138,,,,,,,,,
747,0.13698467,0.063349771,-0.121257626,0.03566479,1.919130121,,,,,,,,,
748,0.133691755,0.064068127,-0.116704275,0.041983369,1.874713761,,,,,,,,,
749,0.130313258,0.065662848,-0.108300553,0.049532488,1.830764953,,,,,,,,,
750,0.126331144,0.064922727,-0.105598104,0.053084977,1.776017436,,,,,,,,,
751,0.122345259,0.06478683,-0.099614703,0.056986662,1.722344048,,,,,,,,,
752,0.118607419,0.066077829,-0.088817856,0.062906236,1.674246368,,,,,,,,,
753,0.114433906,0.066555368,-0.079209229,0.067413846,1.619425057,,,,,,,,,
754,0.10977001,0.064915955,-0.075078393,0.068254741,1.55511795,,,,,,,,,
755,0.106115115,0.065103876,-0.066913926,0.071550313,1.507066139,,,,,,,,,
756,0.103328284,0.064091714,-0.065165609,0.072429736,1.468803272,,,,,,,,,
757,0.100620574,0.06225072,-0.06586834,0.071504796,1.43044296,,,,,,,,,
758,0.097414099,0.061123802,-0.062619875,0.071910636,1.38654375,,,,,,,,,
759,0.093853371,0.060765337,-0.055330444,0.07348244,1.339037105,,,,,,,,,
760,0.090171358,0.060489796,-0.046860644,0.074903372,1.29008948,,,,,,,,,
761,0.086675829,0.060210068,-0.039041471,0.076308967,1.243549922,,,,,,,,,
762,0.083607827,0.060094918,-0.031794783,0.077831597,1.202998839,,,,,,,,,
763,0.080593344,0.059483827,-0.026114602,0.078365135,1.162631153,,,,,,,,,
764,0.077531894,0.058247567,-0.022612356,0.077873653,1.120425281,,,,,,,,,
765,0.074450401,0.056320432,-0.021197712,0.076056632,1.076888531,,,,,,,,,
766,0.071687766,0.055345928,-0.017328304,0.075724716,1.039050737,,,,,,,,,
767,0.069043458,0.055068587,-0.011330944,0.076508859,1.003841525,,,,,,,,,
768,0.066038674,0.053880435,-0.007370734,0.075785757,0.962405013,,,,,,,,,
769,0.062822387,0.052974022,-0.00172095,0.075557322,0.918665814,,,,,,,,,
770,0.059849823,0.052425579,0.004501112,0.075818943,0.878604773,,,,,,,,,
771,0.057306254,0.051599141,0.008533934,0.075487328,0.843850119,,,,,,,,,
772,0.05495402,0.050763856,0.012022368,0.075060373,0.811615128,,,,,,,,,
773,0.052475639,0.050469921,0.017952559,0.075455168,0.778497519,,,,,,,,,
774,0.049646964,0.050989028,0.027683143,0.077355657,0.741996118,,,,,,,,,
775,0.046588242,0.051903655,0.039675912,0.079842995,0.703007785,,,,,,,,,
776,0.043675556,0.05275372,0.051054352,0.082159474,0.665858537,,,,,,,,,
777,0.040881055,0.053568404,0.062006296,0.084356216,0.630213559,,,,,,,,,
778,0.038219041,0.054257507,0.072168619,0.086283662,0.596132954,,,,,,,,,
779,0.035654372,0.054814163,0.081620332,0.087936051,0.563127093,,,,,,,,,
780,0.033196252,0.055126658,0.089939577,0.089122947,0.531135931,,,,,,,,,
781,0.030808385,0.05519732,0.097255252,0.089842003,0.499655376,,,,,,,,,
782,0.028567744,0.055200314,0.103995406,0.09033855,0.469974334,,,,,,,,,
