wl;150625_080838;150625_080914;150625_080941;150625_081012;150625_081437;150625_081506;150625_081532;150625_081558;150625_081624;150625_081837;150625_081904;150625_081930;150625_081956;150625_082146;150625_082212;150625_082243;150625_082313;150625_082631;150625_082716;150625_082747;150625_082814;150625_083226;150625_083253;150625_083320;150625_083346;150625_083411;150625_083555;150625_083621;150625_083650;150625_083849;150625_083915;150625_083945;150625_084017
338.871530904224;2.6260989130434997e-06;-4.22808200137365e-06;1.0399467908926341e-06;2.5105492931507815e-06;2.0150391271352054e-06;-2.6848492971881757e-06;2.221191085273922e-06;3.0209053814487683e-06;3.04344945145958e-06;3.068420252374498e-06;-1.794191242225255e-06;1.237473818185686e-06;-1.0470131642183062e-06;1.1261556696376045e-07;-1.952207688706719e-06;1.6735250329828742e-07;-8.96662996268291e-07;-3.3943490616719104e-07;2.2898171899263704e-06;3.34985954042345e-06;-1.1993059881046052e-06;1.1993900956956704e-06;-1.2103087953349227e-06;2.200778466062585e-06;8.802779268222804e-07;8.802779268222804e-07;2.241914512157213e-06;-3.8105966346021183e-06;-8.883833378000155e-07;-1.1105040013625318e-07;-1.2329313896402484e-06;-1.6812485145280654e-06;1.3451146531504135e-06
339.626753019445;1.4542908309524186e-06;-1.661210192870397e-06;1.0952013350492132e-06;1.1263172418667492e-06;-1.6627080307904392e-07;-2.0978598788797765e-06;1.7276098374747819e-06;1.5274809940407822e-06;1.8029704105200583e-06;1.5016685873898698e-06;-2.426739099590676e-06;2.481130904689916e-07;-5.784854633758338e-07;-3.8119663215670026e-07;-1.0460510948389038e-06;5.712267220522953e-07;-3.2120860240155446e-07;-9.827406317477785e-08;6.818684216528827e-07;1.3137306977119402e-06;-1.2493620688541399e-06;7.005209798430188e-07;-1.050705157819004e-06;9.364067218106785e-07;-9.741358832582997e-07;-3.801828028019196e-08;6.81503200021846e-07;-1.3042701108388203e-06;-7.71223257815863e-07;3.8544615902396006e-07;-1.3427697554831304e-06;-8.3693664840224e-07;7.007380843139093e-07
340.381821617985;1.2659153460878632e-06;-2.2743229702736184e-06;-3.141585315053245e-07;9.046093506870796e-08;5.79005835589504e-07;-5.714109686773944e-06;4.003870518366632e-07;-2.4718274861113117e-06;5.322268839929119e-07;2.1979830053065934e-06;-4.430965984824989e-06;6.798840380717962e-06;8.287632962555621e-07;-2.8504694963036837e-06;-3.159474317438461e-08;-7.245119455439146e-08;-1.1901680799268347e-07;-1.0144768145543723e-07;2.5954594928081567e-06;-8.261535580299742e-07;-6.173256677958532e-06;-9.982662749726597e-07;-2.2746129085412846e-06;-2.1369695349476154e-06;-1.921845031491941e-06;6.411530137996574e-07;-9.919410777822358e-07;-2.777560941916737e-07;4.341195311250106e-06;-5.75573270291511e-06;-1.1391109195978148e-07;-2.3647329350324847e-06;-1.6663809229354055e-06
341.136736628991;-1.975921830327882e-06;1.5963097940650395e-06;1.7689709171515162e-06;5.670687380354062e-06;4.90484937051739e-06;-1.2904669537146998e-06;-3.127995921892795e-06;1.4344714651960396e-06;-2.3237315067523148e-06;1.1323762722112804e-06;-6.684340683226295e-06;1.0539928512915245e-05;-2.5759192698070666e-06;-7.075176065780253e-06;-1.9785882405845223e-06;-1.571368244430676e-07;4.169306606102709e-06;-4.550997890303922e-06;7.617909320263734e-06;-7.414920255534139e-06;1.9155775688681265e-06;1.885289349032395e-06;4.687968779292899e-06;-1.5888891697503964e-06;1.06782836505691e-06;-3.105172110673159e-06;5.789893897264306e-06;-1.104837480156561e-05;4.268360030816237e-06;-8.428889175979592e-06;5.177004174686849e-06;-7.754587621657764e-06;-5.623275035176675e-06
341.891497981608;-5.503938534000772e-06;2.3246531726786563e-06;6.848526869504118e-06;6.2775038496655006e-06;2.88255089502843e-06;-7.545388952471118e-06;-3.1444305709366144e-06;7.83474996614826e-06;-5.548030985360279e-06;9.588033843789593e-06;-1.1353278794088687e-06;-2.157989053124182e-06;-1.0111964238651608e-05;-9.808446277268929e-06;2.9527393261324017e-06;2.6762696014070064e-06;5.345054562542508e-06;-1.4370634689484e-05;5.024327913188205e-06;-1.0409984464001216e-05;1.8806529260890074e-05;-1.500565030617283e-07;8.193546238329736e-06;-9.075808624186921e-06;1.1244704266345527e-06;-1.2511796337959902e-05;-2.9351527125143225e-06;-1.7742945844320686e-05;1.2347500351104064e-06;-9.353767984679657e-06;-7.783020305890097e-06;-1.537680431380793e-05;-4.8636079384648865e-06
342.646105604984;-1.1529108721371686e-06;-8.837554130192656e-06;1.6736147462322652e-06;1.0564449853946888e-05;6.179263662796853e-06;-1.581552258582866e-05;1.2349819973683078e-06;1.9265839885103102e-05;-6.662806579333002e-07;8.452026435821217e-06;9.36663933091235e-06;-2.342996220478487e-06;-3.138345393321958e-06;-8.641840308205655e-06;1.7655744093245078e-05;1.5686904221976044e-07;2.233772028932847e-06;-2.4339495700961925e-05;-7.982922186133808e-06;6.004543085284386e-06;6.57575813264205e-06;-1.2887625963839675e-05;4.691466110440704e-06;-9.850731188854698e-06;-2.043892229406395e-07;9.01323310231204e-06;-1.9696397278160167e-05;-5.356987088085403e-06;1.5625768484063606e-07;-4.227691793295524e-06;-8.480568999669972e-06;1.1825943681096071e-06;-2.9770322699685666e-05
343.400559428264;-5.743204378267379e-06;-1.9384792922008115e-05;4.404674659329122e-06;1.5287827422667618e-05;1.9482493294485417e-05;-2.202491505261679e-05;6.222137203202828e-06;3.6454154167716435e-05;-5.2374612618443455e-06;-2.2447169779172404e-05;2.4358166002487682e-05;-1.324937746217608e-07;-3.8017853154657156e-06;-9.571436748419928e-06;1.2794339736662623e-05;-4.0883598823918184e-06;1.4939659345866558e-05;-1.4694584082105281e-05;4.590476457177242e-06;1.797309813952794e-05;-8.321194948766935e-06;6.54763453714648e-06;-1.531579413058893e-07;-1.2209483639650065e-06;2.2601953054714425e-05;7.668868494783613e-06;-2.061626299180666e-05;8.529413014289292e-06;-4.259862242587394e-06;9.706750808285625e-06;6.925534994935843e-06;1.2516361274508205e-05;-2.966355494239765e-05
344.154859380595;-1.72799559566079e-05;-8.037729031869545e-06;5.230588304847045e-06;-4.413702428566359e-06;3.7514344565215336e-05;-2.18521432189625e-05;1.8003843293281753e-05;3.14095423203054e-05;-1.9327687836203786e-05;-1.713420388076432e-05;7.889731767756855e-06;7.737002285232693e-06;-8.93229369192677e-06;-1.3652693172015447e-05;-3.376894767399055e-06;-6.886376361565364e-06;2.93411748101587e-05;-1.8511389820546092e-05;3.377075296813532e-05;3.1814859900352466e-05;2.3023028129925882e-05;1.3933322799024781e-05;-5.873635155112402e-06;9.616845295546645e-06;3.280430401540528e-05;-1.5693331932803306e-06;-1.7227448555982633e-05;1.7226847601718813e-05;6.426874697123462e-07;-1.1410072660597522e-05;2.0467489040260784e-05;-1.5973884235324194e-05;2.1763133549309562e-05
344.909005391122;-3.626119261005545e-05;1.695317162942037e-05;-3.1974500053473085e-05;-2.972765495682127e-05;6.9746286024232855e-06;8.119797037129503e-06;5.429890515666817e-06;2.0735242616545273e-05;-3.4826121583797915e-06;1.2106189742546416e-05;-2.157169607836941e-05;2.2613138818970115e-05;1.5785757444646733e-05;4.4828836510913525e-06;-3.491327598026034e-06;-1.2324015060012098e-05;1.7783415069149795e-05;-2.385921175520523e-05;2.5534520855220312e-05;6.639353453199112e-05;3.736024123396793e-05;-1.2620536181112187e-05;8.420708053746381e-06;1.2776714350058355e-06;-1.776951465900335e-05;1.0710162816783773e-05;-1.7122643246118178e-05;-1.4515293282814771e-05;1.662352027243671e-05;1.1792656880740907e-06;2.3862172202548116e-06;-1.2189584042162317e-05;1.6143647511665465e-05
345.662997388993;-4.3117462330433785e-05;-4.950150928659427e-06;-2.178291471236861e-05;-1.2218485801765949e-05;-3.9386749185095504e-05;-2.3553902306240595e-05;1.6635634145985576e-05;-9.274353632973978e-07;2.1757220328130877e-05;9.095895114612238e-06;8.561125520427722e-06;2.514508502105018e-05;1.6146964735684884e-05;-1.7837879150786674e-06;1.8129388036966802e-06;7.817895222538657e-06;-1.6648963548755907e-05;-1.4461865783036988e-05;1.5598845656290628e-05;6.433932271064492e-05;3.246445885057344e-05;1.3871058488055497e-05;3.0928208816999153e-06;1.7125297769550014e-06;-7.633416962276927e-06;-1.0608142601943123e-05;-7.927867302588086e-06;-5.368241243937194e-05;-1.830444252615402e-06;-5.711263208372388e-06;-1.1204085291481292e-05;1.063366929901975e-05;-2.0862787571899706e-05
